english,russian
Will,"Воля, желание"
Can,Банка
Just,"Справедливый, беспристрастный"
May,Пусть
Well,Колодец
Get,Становиться
Way,Способ
Still,"Спокойный, неподвижный"
Even,Ровный
Take,Воспринимать
Own,Владеть
Last,Длиться
Might,Мощь
However,Однако
Over,Заново
Never,Так и не
Part,Роль
Part,"Часть, разделять(ся)"
Different,"Разный, отличающийся"
Thought,Мысль
Within,В течение
Within,"В пределах, внутри"
About,Примерно
Local,Местный
During,Во время
Although,Хотя и
Case,"Случай, дело"
Case,"Ящик, футляр, чехол"
Quite,Вполне или более-менее
Mean,"Неважный, посредственный"
Point,"Смысл, суть"
Point,Точка
Point,Очко
Point,"Острие, кончик"
Point,Пункт
State,Государство
State,Состояние
State,"Заявить, отметить"
Area,"Область, участок"
Perhaps,Возможно
Like,Как
Possible,Возможный
Yet,Пока ещё (отриц.)
Yet,Всё же
Large,"Большой, широкий"
Whether,Ли
Almost,Почти
Council,Совет (орган)
Both,Оба
Room,"Место, пространство"
Able,"Способный, могущий"
General,Общий
Court,Суд
Court,Двор (королевский)
Court,Игровая площадка
Face,Столкнуться (перен)
Available,"Доступный, в наличии"
Law,Закон
Early,"Рано, ранний"
Policy,"Политика, курс"
Ever,Когда-либо
At least,По крайней мере
Research,"Исследование, исследовать"
Report,"Доклад, отчёт"
Question,Подвергать сомнению
Health,Здоровье
Book,"Купить, забронировать"
Period,Точка (в предложении)
Several,Несколько
Sure,Уверенный
Level,Уровень
Society,Общество
Major,"Главный, большой"
Therefore,Следовательно
Community,"Община, сообщество"
Likely,Вероятно
Clear,"Ясный, чистый (пр. и перен.)"
Staff,Персонал
Kind,Добрый
Kind,"Тип, вид"
Provide,"Обеспечивать, снабжать"
Particular,"Частный, конкретный"
Line,Строка
Line,"Линия, ряд"
Special,"Особенный, специальный"
Certain,"Определённый, уверенный"
Either,Либо
Either,Тоже (не)
Either,Любой из двух
Across,"За, через"
Whole,"Весь, целый"
Age,"Век, эпоха"
Age,Возраст
Process,Обработать
Act,Действовать
Evidence,Доказательство (неисчисл.)
View,"Вид, взгляд"
Mind,Возражать
Sense,"Чувство, осознание"
Sense,"Смысл, значение"
Rather,"Скорее, предпочтительнее"
Thus,"Таким образом, поэтому"
Church,Церковь
Table,Таблица
Support,Поддерживать
Industry,Отрасль
Free,Свободный или бесплатный
Care,"Забота, уход"
Care,"Переживать, интересоваться"
Order,"Порядок, упорядочивать"
Order,"Заказ, заказывать"
Order,Приказ
Century,Век
Range,"Диапазон, пределы"
Trade,"Торговля, торговый"
Air,"Вид, впечатление"
Experience,Опыт
Rate,"Курс, тариф, ставка"
Rate,"Показатель, уровень"
Indeed,В самом деле
Land,"Приземляться, высаживаться"
Team,"Команда, бригада"
Similar,Похожий
Once,"Однажды, когда-либо"
Authority,Власть
Human,"Человек, человеческий"
Common,Общий
Common,"Обычный, распространённый"
Necessary,Необходимый
Reason,"Разум, благоразумие"
Reason,"Причина, мотив"
Subject,"Предмет, тема"
Subject,"Подверженный, подвергать"
Since,Поскольку
Since,С (какого-то времени)
Department,Отдел
Single,"Один, отдельный, единый"
As well as,Так же как и
Value,"Ценность, оценивать"
Member,Член
Run,Управлять
Paper,"Бумага, документ"
Private,"Частный, личный"
Practice,"Практика, практиковать"
Type,"Печатать, набирать текст"
Seem,Казаться
Figure,"Полагать, думать"
Former,Бывший
Former,Первый (из названных)
Matter,"Вещество, материя"
Matter,"Дело, вопрос"
Matter,Иметь значение
Bank,"Берег (реки, озера)"
Union,Союз
Terms,Отношения
Terms,"Условия, соглашение"
South,"Юг, южный"
Quality,"Качество, качественный"
North,"Север, северный"
Stage,Сцена
Stage,"Стадия, ступень"
Foreign,Иностранный
Soon,Скоро или рано
Late,Поздний
Late,Покойный
Recent,"Недавний, последний"
Date,"Свидание, встречаться"
According to,В соответствии
Tax,Налог
Various,Разнообразный
Include,"Включать, содержать в себе"
Poor,Бедный
Wrong,Не тот
Chapter,Глава
Present,Настоящее (время) 
Present,"Присутствующий, в наличии"
Issue,"Издать, выпустить, выпуск"
Issue,"Вопрос, проблема"
At all,Совсем
Award,"Награда, премия, присуждать"
Royal,Королевский
Amount,Количество (неисчисл.)
Despite,Несмотря на
Knowledge,Знания
Approach,"Приближаться, подходить"
Lord,"Господин, господь (бог)"
Further,"Дальнейший, далее"
Series,Сериал
Field,"Поле, область"
Natural,Естественный
Future,"Будущий, будущее"
Rest,"Остаток, остальное"
Rest,"Отдых, отдыхать"
Rest,Покоиться
Simple,"Простой, обычный"
Means,Средство
Move,Переезжать
Letter,Письмо
Account,Счёт (в банке)
Account,Отчёт
Per,(кол-во) на (единицу)
Board,"Совет, коллегия"
Board,Доска
Board,"Борт, подниматься на борт"
Success,Успех
Current,"Текущий, актуальный"
Current,"Ток, поток, течение"
Agreement,"Соглашение, договор"
Please,Радовать
Capital,"Главный, большой, высший"
Population,Население
Legal,"Законный, правовой"
Environment,"Среда, окружение"
Authorities,Органы власти
Provided,При условии
Turn,"Очередь, смена"
East,Восток
Fine,Штраф
Fine,Тонкий
Fine,Хороший
West,Запад
Record,Запись
Property,Собственность
Example,Пример
Space,Пространство
Space,Космос
Buy,"Верить, соглашаться (разг.)"
Term,"Срок, период"
Term,Термин
Previous,Предшествующий
Couple,Пара
Anyway,В любом случае
Cup,"Чашка, кружка, кубок"
Total,"Полный, всеобщий"
Thank,Благодарить
Prime,"Важный, главный, первый"
Significant,Значительный
Income,Доход
Choice,Выбор
Scheme,Схема
Change,"Сдача, мелочь"
List,"Список, перечислять"
Continue,Продолжить
Hall,"Зал, вестибюль"
Consider,"Рассматривать, учитывать"
Consider,Считать чем-либо
Loss,Потеря
Floor,Пол
Floor,Этаж
Round,"Круг, круглый"
Allow,Разрешать
Contract,Сокращаться
Stay,Оставаться
Stay,Остановиться пожить
As well,Также
County,"Графство, округ"
Specific,Конкретный
Wide,"Широкий, просторный"
Appropriate,Присвоить
Appropriate,"Подходящий, присущий"
Chairman,Председатель
Set,"Набор, комплект"
Lower,Нижний
Look,Выглядеть
Arms,Оружие
Unless,Если не
Produce,Производить
Unit,"Единица, элемент"
Appear,Появиться
Appear,Казаться
Village,Деревня
Military,Военный
Original,"Первоначальный, первоисточник"
Garden,Сад
Aware,Осведомлённый
Suppose,Полагать
Science,Наука
Expect,Ожидать (события)
Beyond,"Вне, свыше"
Direct,Прямой (обычн. перен.знач.)
Direct,Направлять
Advice,Совет (неисчисл!)
Abandon,"Оставить, забросить"
Abate,"Уменьшаться, ослабевать"
Abduct,Похищать
Abide,"Смириться, выносить"
Abnormal,"Ненормальный, аномальный"
Aboard,На борту
Abolish,Упразднять
Abort,Прерывать
Abound,Изобиловать
Abroad,За границу
Abrupt,"Крутой, резкий"
Absent,Отсутствующий
Absorb,"Впитывать, поглощать"
Abundant,Обильный
Abuse,"Оскорблять, бранить, брань"
Abuse,Злоупотреблять
Abuse,"Насилие, домогательство"
Accelerate,Ускорять
Accept,Принять
Access,Доступ
Accessory,"Принадлежность, аксессуар"
Accident,Случайность
Accident,"Происшествие, напр.  дтп"
Acclaim,"Приветствовать, аплодировать"
Accommodate,"Размещать, вмещать"
Accompany,Сопровождать
Accomplish,"Выполнить, завершить"
Accord,Согласие
Account for,Объяснить (произошедшее)
Accurate,Точный
Accuse,Обвинять
Accustom,Приучить
Ache,"Боль, болеть"
Achieve,Достигать
Acid,Кислота
Acknowledge,"Признавать, подтверждать"
Acquaint,Знакомить
Acquire,Обретать
Acquit,Оправдать (в суде)
Act on,Действовать в соответствии
Acute,Острый
Adamant,Непреклонный
Add to,Увеличивать
Add up,Сходиться (об информации)
Addict,"Наркоман, привыкать"
Addition,"Добавление, сложение"
Adhere,Придерживаться
Adjacent,"Смежный, прилегающий"
Adjective,Прилагательное
Adjust,"Настраивать, поправлять и т.д."
Admire,Восхищаться
Admit,"Признавать, допускать"
Adolescent,"Подросток, подростковый"
Adopt,"Принимать, перенимать"
Adopt,Усыновить или взять (животное)
Adore,Обожать
Adorn,Украшать
Adult,Взрослый
Adultery,"Прелюбодеяние, неверность"
Advance,"Продвигаться, продвижение"
Advantage,Преимущество
Adventure,Приключение
Adverb,Наречие
Adversary,"Противник, соперник"
Adverse,Неблагоприятный
Advertise,Рекламировать
Advise,Советовать
Advocate,"Защищать, отстаивать"
Aerial,Воздушный
Aerial,Антенна
Affair,"Дело, занятие"
Affair,"Роман, любовная история"
Affect,Воздействовать
Affection,"Привязанность, влечение"
Affiliate,"Филиал, отделение, мл. партнёр"
Affirm,"Утверждать, подтверждать"
Afflict,"Поражать, вредить"
Affluent,"Обеспеченный, состоятельный"
Afford,Позволить себе
Afraid,Напуганный
After all,"Всё-таки, в конце концов"
Aftermath,"Последствие, результат"
Agenda,Повестка дня
Aggravate,Обострять
Aggregate,Совокупный
Agile,"Проворный, гибкий"
Agitate,Волновать
Agree,Соглашаться
Agriculture,Сельское хозяйство
Ahead,"Вперёд, впереди"
Aid,"Помощь, помогать"
Ailment,"Недомогание, болезнь"
Aim,Цель
Airborne,Находящийся в воздухе
Aircraft,"Самолёт, авиация"
Airline,Авиалиния
Aisle,Проход
Akin,Похожий
Alarm,"Тревога, сигнализация"
Alas,Увы
Albeit,Хотя
Alert,"Тревога, бдительный"
Alien,"Чужак, пришелец, иммигрант"
Alienate,"Отчуждать, отдалять, отвергать"
Align,"Выравнивать, выстраивать"
Alike,Подобно
Alive,Живой
All along,Всё время
Allege,"Утверждать, приписывать"
Allegiance,Верность
Allocate,Распределять (ресурсы)
Allot,"Выделять, отводить"
Allow for,"Выделять, рассчитывать"
Allowance,"Выплата, пособие"
Allude,"Намекать, указывать"
Allure,"Очарование, очаровывать"
Ally,Союзник
Alone,В одиночестве
Alongside,Рядом
Aloud,Вслух
Alter,Изменять
Alternate,"Чередовать, чередующийся"
Altitude,Высота
Altogether,В целом
Amateur,"Любитель, любительский"
Amaze,"Поражать, изумлять"
Ambassador,Посол
Amber,Янтарь
Ambiguous,"Двусмысленный, неоднозначный"
Ambulance,Скорая помощь
Ambush,Засада
Amend,"Исправить, улучшить"
Amenity,"Удобство, обустройство"
Amid (amidst),Среди
Ammunition,Боеприпасы
Ample,"Обильный, широкий"
Amplify,Усиливать
Amuse,"Развлечь, порадовать"
Ancestor,Предок
Anchor,"Якорь, закреплять"
Ancient,Древний
Anew,Заново
Anger,Гнев
Angle,"Угол, угловой"
Angry,Злой
Anguish,"Мука, страдание"
Animate,"Живой, одушевлённый, оживлять"
Ankle,"Лодыжка, щиколотка"
Anniversary,Годовщина
Announce,Объявлять
Annoy,"Раздражать, надоедать"
Annual,Ежегодный
Ant,Муравей
Anthem,Гимн
Anticipate,Ожидать
Antique,Старинный
Anxiety,"Беспокойство, тревога"
Anxious,"Озабоченный, встревоженный"
Anymore,Больше не
Anytime,В любой момент
Anywhere,"Где угодно, куда угодно"
Apart,"Отдельно, врозь"
Apart from,Помимо
Apartment,Квартира
Ape,Обезьяна (крупная)
Apiece,"Каждый, за штуку"
Apology,Извинение(я)
Appal,"Потрясать, ужасать"
Apparent,"Явный, видимый"
Appeal,"Обращаться, взывать"
Applause,Аплодисменты
Appliance,"Прибор, приспособление"
Apply,"Применять, применяться"
Apply,Обращаться (с заявлением)
Appoint,"Назначать, утверждать"
Appraise,Оценивать
Appreciate,Ценить
Apprentice,"Ученик, стажёр"
Approve,"Утвердить, одобрить (офиц.)"
Approve of,Одобрять (субъективно)
Approximate,Приблизительный
Apron,"Фартук, передник"
Apt,"Склонный, способный"
Aquatic,Водный
Arbitrary,Произвольный
Arc,Дуга
Arch,"Арка, изгибать"
Archive,Архив
Argue,"Спорить, доказывать"
"Arise (arose, arisen)","Возникать, происходить"
Arm,Рука
Armor (armour),"Броня, доспехи"
Arouse,"Вызывать, пробуждать"
